composition,winrate,games
10|13|18|31|50|76,0.0,1
10|13|18|31|52|64,1.0,1
10|13|18|31|58|64,0.0,1
10|13|18|31|63|66,1.0,1
10|13|18|31|63|77,0.0,1
10|13|18|31|63|80,0.0,1
10|13|18|31|64|65,0.0,1
10|13|18|31|64|7,0.0,1
10|13|18|31|65|66,0.0,1
10|13|18|31|65|77,0.333333,3
10|13|18|31|66|7,1.0,2
10|13|18|31|7|8,1.0,1
10|13|18|31|7|81,0.0,1
10|13|18|35|4|7,1.0,1
10|13|18|35|50|64,0.0,1
10|13|18|35|50|81,1.0,1
10|13|18|35|58|80,0.0,1
10|13|18|35|63|77,0.0,1
10|13|18|35|64|65,0.333333,3
10|13|18|35|64|7,0.0,1
10|13|18|35|7|77,0.0,1
10|13|18|35|7|80,0.0,1
10|13|18|3|31|65,0.0,1
10|13|18|3|35|7,1.0,1
10|13|18|3|4|77,1.0,1
10|13|18|3|64|81,0.0,2
10|13|18|3|66|77,1.0,2
10|13|18|3|66|81,1.0,1
10|13|18|3|6|65,1.0,1
10|13|18|4|50|8,0.0,1
10|13|18|4|58|7,0.0,1
10|13|18|4|64|77,0.5,2
10|13|18|4|64|80,0.0,1
10|13|18|4|6|7,0.0,1
10|13|18|4|7|72,1.0,1
10|13|18|4|80|81,0.0,1
10|13|18|50|6|77,1.0,1
10|13|18|52|63|77,0.0,1
10|13|18|52|63|80,1.0,1
10|13|18|52|66|7,1.0,1
10|13|18|52|77|8,1.0,1
10|13|18|58|65|69,0.0,1
10|13|18|63|64|65,1.0,1
10|13|18|63|65|66,1.0,1
10|13|18|63|66|7,1.0,1
10|13|18|64|65|8,0.0,1
10|13|18|64|77|80,0.5,2
10|13|18|64|77|81,0.0,1
10|13|18|64|7|8,1.0,2
10|13|18|65|66|76,1.0,1
10|13|18|65|66|8,0.0,1
10|13|18|65|67|77,0.0,1
10|13|18|65|77|79,0.0,1
10|13|18|65|77|8,1.0,1
10|13|18|6|63|77,1.0,1
10|13|18|6|64|7,0.333333,3
10|13|18|6|65|76,1.0,1
10|13|18|77|80|81,0.0,1
10|13|19|20|25|69,1.0,1
10|13|19|20|27|69,0.0,1
10|13|19|20|50|64,1.0,1
10|13|19|20|52|65,1.0,1
10|13|19|25|31|69,0.0,1
10|13|19|25|3|67,1.0,1
10|13|19|25|79|80,0.0,1
10|13|19|27|3|35,1.0,1
10|13|19|27|76|79,0.0,1
10|13|19|2|20|77,1.0,1
10|13|19|2|3|6,0.0,1
10|13|19|2|50|72,0.0,1
10|13|19|31|65|67,1.0,2
10|13|19|31|65|76,0.0,1
10|13|19|31|69|77,1.0,1
10|13|19|3|35|69,0.0,1
10|13|19|3|64|76,1.0,1
10|13|19|52|6|79,0.0,1
10|13|19|64|66|67,0.0,1
10|13|19|64|67|77,0.0,1
10|13|19|64|69|8,1.0,1
10|13|19|64|79|80,1.0,1
