hero_a,hero_b,winrate,games
6,65,0.50655,687
6,66,0.461279,297
6,67,0.5,246
6,69,0.490566,318
6,7,0.437956,548
6,72,0.514286,245
6,76,0.454545,176
6,77,0.49904,521
6,79,0.567568,333
6,8,0.470833,240
6,80,0.504608,434
6,81,0.45288,382
60,1,0.496241,133
60,10,0.462406,266
60,11,0.433962,159
60,12,0.446043,139
60,13,0.448763,283
60,14,0.387097,62
60,15,0.486772,189
60,16,0.412162,444
60,17,0.473684,95
60,18,0.429066,289
60,19,0.45641,195
60,2,0.454054,185
60,20,0.424615,325
60,25,0.474138,116
60,27,0.487013,154
60,3,0.479675,246
60,31,0.452632,380
60,35,0.366013,153
60,4,0.469945,183
60,50,0.425121,207
60,52,0.547619,126
60,58,0.428571,70
60,6,0.475248,202
60,63,0.454106,207
60,64,0.463722,317
60,65,0.453968,315
60,66,0.486726,113
60,67,0.457831,166
60,69,0.42439,205
60,7,0.406728,327
60,72,0.525862,116
60,76,0.491525,118
60,77,0.444444,234
60,79,0.572115,208
60,8,0.4,140
60,80,0.465608,189
60,81,0.457944,214
63,1,0.488095,252
63,10,0.497908,478
63,11,0.385714,280
63,12,0.461864,236
63,13,0.477528,534
63,14,0.49375,160
63,15,0.556962,316
63,16,0.434415,709
63,17,0.518987,158
63,18,0.444201,457
63,19,0.51928,389
63,2,0.41896,327
63,20,0.443902,615
63,25,0.491597,238
63,27,0.491039,279
63,3,0.501144,437
63,31,0.490909,660
63,35,0.521605,324
63,4,0.467836,342
63,50,0.460227,352
63,52,0.601732,231
63,58,0.471831,142
63,6,0.471098,346
63,60,0.545894,207
63,64,0.454867,565
63,65,0.447289,664
63,66,0.496479,284
63,67,0.483471,242
63,69,0.466165,399
63,7,0.452055,657
63,72,0.461905,210
63,76,0.466292,178
63,77,0.414953,535
63,79,0.52381,336
63,8,0.417323,254
63,80,0.427419,372
63,81,0.436754,419
64,1,0.524896,482
64,10,0.523148,864
64,11,0.467706,449
64,12,0.51693,443
64,13,0.494204,949
64,14,0.582418,273
64,15,0.568556,547
64,16,0.461059,1284
64,17,0.570957,303
64,18,0.450605,992
64,19,0.529197,822
64,2,0.463722,634
64,20,0.459941,1011
64,25,0.52686,484
64,27,0.528998,569
64,3,0.510604,613
64,31,0.503676,1088
64,35,0.477639,559
64,4,0.489583,480
64,50,0.506003,583
64,52,0.628062,449
64,58,0.494253,261
64,6,0.498498,666
64,60,0.536278,317
64,63,0.545133,565
64,65,0.491743,1090
64,66,0.535433,508
64,67,0.521531,418
64,69,0.503289,608
64,7,0.459361,1095
64,72,0.56266,391
64,76,0.51682,327
64,77,0.488837,851
64,79,0.602131,563
64,8,0.43418,433
64,80,0.497453,589
64,81,0.514881,672
65,1,0.511727,469
65,10,0.544242,825
65,11,0.470046,434
65,12,0.535433,381
65,13,0.496094,1024
65,14,0.535211,284
65,15,0.533333,630
65,16,0.480956,1339
65,17,0.498392,311
65,18,0.467879,825
65,19,0.537783,794
65,2,0.507396,676
65,20,0.461768,1007
65,25,0.526718,524
65,27,0.526718,524
65,3,0.482196,674
65,31,0.492815,1183
65,35,0.488536,567
65,4,0.519525,589
65,50,0.481908,608
65,52,0.594912,511
65,58,0.457143,245
65,6,0.49345,687
65,60,0.546032,315
65,63,0.552711,664
65,64,0.508257,1090
65,66,0.492278,518
