hero_a,hero_b,winrate,games
63,15,0.556291,302
63,16,0.441755,661
63,17,0.506849,146
63,18,0.440835,431
63,19,0.518717,374
63,2,0.424051,316
63,20,0.439108,583
63,25,0.483193,238
63,27,0.492701,274
63,3,0.501193,419
63,31,0.485759,632
63,35,0.522581,310
63,4,0.459283,307
63,50,0.458967,329
63,52,0.591111,225
63,58,0.453901,141
63,6,0.46131,336
63,60,0.540404,198
63,64,0.449909,549
63,65,0.436834,657
63,66,0.492701,274
63,67,0.452282,241
63,69,0.457447,376
63,7,0.45799,607
63,72,0.45098,204
63,76,0.462766,188
63,77,0.425819,519
63,79,0.521994,341
63,8,0.435685,241
63,80,0.419271,384
63,81,0.422018,436
64,1,0.526205,477
64,10,0.529478,882
64,11,0.473094,446
64,12,0.514354,418
64,13,0.504141,966
64,14,0.582418,273
64,15,0.575812,554
64,16,0.466448,1222
64,17,0.57,300
64,18,0.4613,969
64,19,0.534161,805
64,2,0.472843,626
64,20,0.46815,989
64,25,0.52381,504
64,27,0.541516,554
64,3,0.512563,597
64,31,0.506024,1079
64,35,0.47026,538
64,4,0.498876,445
64,50,0.497364,569
64,52,0.626106,452
64,58,0.498141,269
64,6,0.508721,688
64,60,0.544872,312
64,63,0.550091,549
64,65,0.502762,1086
64,66,0.544513,483
64,67,0.510638,423
64,69,0.515789,570
64,7,0.460728,1044
64,72,0.558442,385
64,76,0.527174,368
64,77,0.505143,875
64,79,0.608547,585
64,8,0.448441,417
64,80,0.500797,627
64,81,0.516713,718
65,1,0.501109,451
65,10,0.542992,849
65,11,0.453271,428
65,12,0.529577,355
65,13,0.488679,1060
65,14,0.543624,298
65,15,0.528244,655
65,16,0.475697,1255
65,17,0.509434,318
65,18,0.466999,803
65,19,0.539141,792
65,2,0.51446,657
65,20,0.457645,968
65,25,0.534579,535
65,27,0.522417,513
65,3,0.482919,644
65,31,0.490694,1182
65,35,0.47417,542
65,4,0.511712,555
65,50,0.475329,608
65,52,0.586538,520
65,58,0.466667,240
65,6,0.48834,729
65,60,0.539432,317
65,63,0.563166,657
65,64,0.497238,1086
65,66,0.493902,492
65,67,0.524664,446
65,69,0.526936,594
65,7,0.480957,1129
65,72,0.521472,326
65,76,0.512894,349
65,77,0.510995,955
65,79,0.575573,655
65,8,0.446469,439
65,80,0.483651,734
65,81,0.484615,780
66,1,0.568493,292
66,10,0.538847,399
66,11,0.451613,217
66,12,0.522936,218
66,13,0.510101,396
66,14,0.504854,103
66,15,0.562712,295
66,16,0.457343,715
66,17,0.488372,129
66,18,0.485997,607
66,19,0.552553,333
66,2,0.489451,237
66,20,0.447867,422
66,25,0.483092,207
66,27,0.55336,253
66,3,0.509554,314
66,31,0.532228,543
66,35,0.501577,317
66,4,0.477366,243
66,50,0.509804,255
66,52,0.583691,233
66,58,0.457447,94
66,6,0.541516,277
66,60,0.485981,107
66,63,0.507299,274
66,64,0.455487,483
66,65,0.506098,492
66,67,0.515528,161
66,69,0.559524,252
66,7,0.496,500
66,72,0.551913,183
66,76,0.565476,168
66,77,0.502404,416
66,79,0.598039,204
66,8,0.481928,249
66,80,0.509728,257
66,81,0.463158,285
67,1,0.479263,217
67,10,0.514512,379
67,11,0.456731,208
67,12,0.482051,195
67,13,0.472441,381
67,14,0.495726,117
67,15,0.525692,253
67,16,0.47395,595
67,17,0.591549,142
67,18,0.488421,475
67,19,0.561265,253
67,2,0.490421,261
67,20,0.457831,498
67,25,0.513661,183
67,27,0.527363,201
67,3,0.475836,269
67,31,0.51875,480
67,35,0.459596,198
67,4,0.511013,227
67,50,0.483871,248
67,52,0.61165,206
67,58,0.513274,113
67,6,0.513725,255
67,60,0.542169,166
67,63,0.547718,241
67,64,0.489362,423
67,65,0.475336,446
67,66,0.484472,161
67,69,0.5,304
67,7,0.464692,439
67,72,0.492754,138
67,76,0.550336,149
67,77,0.479651,344
67,79,0.550725,414
67,8,0.449074,216
67,80,0.501718,291
67,81,0.486928,306
69,1,0.529412,289
69,10,0.515347,619
69,11,0.434343,297
69,12,0.524116,311
69,13,0.486159,578
69,14,0.522581,155
69,15,0.546269,335
69,16,0.447799,795
69,17,0.557895,190
69,18,0.479076,693
